Product Name,Stock,Selling Price,Purchases
Vichy Sunscreen Mineral,10,T 2300,"387,394,401"
Charlotte Tilbury Blush,5,,"230,479,485"
Clinique dark spot set,,T 12000,"1,9,340,474,637"
maybelline lipstick pallet 02,,T 1800,"2,70,335,420,446,535,609,614,632,636,641"
maybelline lipstick pallet 01,,T 1800,"3,8,50,51,61,144,209,370,600"
smart clinical repair eye cream,8,T 4600,"7,3,44,66,74,153,184,200,248,380,389,391,392,461,463,464,470,480"
 Clinique moisture after midnight,3,T 7950,"5,37,119,164,205,218,465,467,475,531"
clinique all about eyes,4,T 3950,"6,49,163,269"
sunscreen La Roche Anthelos Xl,6,T 3400,"9,76,123,195,324,325,336,347,364,372,392,395,398,399,402,404,408,409"
shisseido mini set 2,,,"11,12,16,17,28,30,31,33,35,36,38,42,43,44,45,46,48,56,59,109,114,119,83,123,128,142,179"
shiseido sunscreen stick,,,"13,15,18,25,271,385,429,603"
504 lipstick shiseido,,,"14,31,65,71,346,348,379,428,432"
shisseido mini set 1,,,"15,16,19,20,21,24,25,29,54,60,123,135,234,249,321"
405 shiseido lipstick,,,"22,23,26,27,31,35,40,41,64,72,78,331,329,374,430,433"
Shiseido Essential Energy,,,"32,63"
dramatically gel 50ml,,,"34,144,200,201,630"
essencial energy shiseido,,,"39,247"
intense hydration set shiseido,,,"47,52,53"
vitaminD tablets,,,"55,57,58,131,132,133"
too faced mini pallet,,,"62,368,486"
507 shiseido lipstick,,,"67,328,334,357,434,435"
clinique makeup mvp's,,,"68,77,319,326,613,635"
nars mini powermatte lip dup,,,"69,330,359,621,641,643"
shiseido mini eye cream,,,"73,191,246,261,266,308"
nars mini blush set duo,,,"75,79,344,355,405,493,536,590"
clinique mini set,,,"80,81,82,85,86,87,88,89,90,91,92,93,94,95,110,111,112,113,115,116,117,118,119,120,121,122,124,126,127,129,130,134,143,145,146,147,149,157"
clinique dark spot even better,,,"84,236,341,473,536,537,585,586"
clinique dramticly,,,"86,498,592,622,636"
estee lauder lipstick,,,"125,235,303,304,310,314,599"
shisseido benefit 15 ml,,,136
clinique cult classics on the go,,,"137,138,139,166,170"
centrum women +50,,,"138,536"
black garlic tablets,,,"140,536"
loreal blush,,,"141,148,365,378"
ordrinary azalic acid,,,"144,165,169,186,191,198,211,216,222"
estee lauder foundation,,,"148,154,197,219,233,245,277,354,376,377,397,438,447,460,518"
shisseido mini set 3,,,"150,151,152,155,156,168,172,176,177,178"
vaseline balm,,,"158,185,187,194"
clinque smart clinical repar sserum,,,"159,161,168,174,175,181,185,188,190,191,192,213,232"
vaseline lip balm,,,"160,167,173,175,180,182,185,187,189,193,202,204,207,210,215,221"
estee lauder pink set,,,"160,162,171,183,212,217,582,583,597"
maybelline mascara green,,,"162,196,199,203,204,214,220,223,228,239,353"
ordinary 100% plant,,,"200,262,265,278,280,282,293,295,296,536,638,640"
centrum tablets,,,"206,208,327"
maybelline foundation,,,"223,225,227"
revlon foundation,,,"224,226"
clinique pancake powder,,,228
mac mini lipstick set,,,"229,231,302,354,359"
mac lipstick set,,,"231,500"
estee lauder 4 pic set,,,"386,413,471,536"
centella sunscreen,,,"236,237,238,255,322"
mini shisseido vital perfection,,,240
clinique 100 hours cream,,,241
lancome eye pencile,,,242
clinique 6 pic set,,,243
shiseido enrgizing rituals mini,,,244
clinique foundation,,,"248,345,350,502,515,536"
shiseido mini set 5,,,"250,252,264,285,286,291,297,298,299,305,318"
estee lauder lipstick 680,,,"251,332,339,349"
clinique mini 5 pic set,,,"381,388,416,425,427,491,515,524"
clinique mvp's les essential,,,"253,254,256,257,258"
maybelline mascara,,,"259,260,469,499,516,517,519,618"
shiseido mask mini,,,"263,443"
shiseido mini set ,,,267
shiseido mini set 5,,,"270,276"
mini set estee lauder,,,"272,273,274,275"
cosrx,,,
cosrx mini set,,,"279,356,363"
ordinary powder,,,"280,281,282,293,313"
shiseido mini red cream,,,283
estee lauder 3 pic set,,,"284,287,289,301,504"
corax cleanser,,,"287,288,290,292"
estee laauder eye cream,,,294
estee lauder eyeshadow,,,"300,310"
estee lauder blush,,,"306,310"
charlott tilburry 4 pic set,,,306
estee lauder hand cream,,,"307,309"
estee lauder cleeanser,,,307
estee lauder night repair serum,,,"307,315,317"
bag,,,310
estee lauder revitalizing,,,"311,315,360"
estee lauder mascara,,,"316,320"
shieseido mini cream,,,323
clinique powder,,,326
nars lip set,,,"330,335,337,347,362,459"
818 estee lauder lipstick,,,"333,339,351,455,493"
shiseido hydration set,,,338
loreal eyebrow gel,,,"341,378,412"
estee lauder concealer,,,"343,518,625"
shisedo set,,,"352,354,369"
charlott tilbury foundation,,,"353,495,604,624,626,629,633,641"
estee lauder mini set,,,352
luxury shiseido,,,358
estee lauder 626 lipstick,,,361
estee lauder lip gloss,,,"366,375"
213 shiseido lipstick,,,"367,373"
estee lauder blush set,,,368
estee lauder set,,,369
hudabeuty lipstick,,,"371,392,534"
estee lauder bag,,,373
clinique mascara,,,"375,382,384,417,436"
shiseido sunscream,,,"382,383,387,400,424,432,513,615,623"
clinique smart mini serum,,,"384,393,422,423,480,482"
410 shiseido lipstick,,,"386,437,438,440,451,453,457,462,471,477,478,479,532"
clinique mini 2 pcs make up,,,"390,396,423,426,431"
shiseido 5 pic mini set,,,"403,406,411,418,419"
shiseido 4 pcs mini set,,,"407,410,415,421,481"
mini nars blush,,,414
shiseido future solution lx,,,"439,441,442,440,443,444,445,447,448,449,450,452,453,536"
212 shiseido lip stick,,,"447,466,529"
clinique mini 2 pcs skincare,,,"454,456,458,483,487,494,497,505,508,521,525,538"
clinique smart serum,,,467
clinique smart 2 psc set,,,"468,472"
garnier night cream,,,"474,476,489,490,510,520"
garnier hyaluron,,,"476,484,492,493,496,490,510,514,536"
too faced pallet,,,486
clinique mini oily skin set,,,"487,509,512,497,523"
nars duo blush set,,,"488,591,593,601"
estee lauder mini 2 pcs,,,"501,530,341,577,580"
estee lauder 3 pcs set,,,"503,526,572,575"
dark spot mini set,,,"504,506,508,509"
19 clinique lipstick,,,"507,517,621"
208 shiseido lipsticks,,,"522,562,594,642"
clinique mini mascara,,,"522,592,598,650"
01 clinique lipstick,,,"528,533,539,592,621,631"
perfume,,,536
balea handcream,,,"540,541,543,544,545,547,548,549,551,553,554,555,556,559,561,562,564,542,566,571,573,341,576,577,579,581,583,587,588,589,590,595,596,604,616,617,620,627"
balea fusscream,,,"540,543,544,545,549,551,555,558,560,561,563,564,565,569,574,577,576,578,579,583,589,590,594,597,616,623,628,634"
balea haarol,,,"541,546,548,550,551,552,554,557,559,560,565,566,567,568,569,570,583,654"
sundance sun screen,,,"542,547,548,555,560,562,576"
toothpaste,,,"541,543,548,551,564,542,341,634,639"
balea handcream,,,"553,593,623"
